index	video	video_path	duration	domain	candidates	sub_category	task_type	subtitle_path	question	answer	prediction	score
625	n7q1yYzx2g8	./video/n7q1yYzx2g8.mp4	short	Artistic Performance	['A. United Kingdom.', 'B. Germany.', 'C. China.', 'D. United States.']	Variety Show	Object Recognition	./subtitle/n7q1yYzx2g8.srt	Which country's flag is on the ribbon in the video?	A	A	1.0
626	n7q1yYzx2g8	./video/n7q1yYzx2g8.mp4	short	Artistic Performance	['A. The man.', 'B. They spend the same amount of time.', 'C. The woman.', 'D. Unable to determine.']	Variety Show	Information Synopsis	./subtitle/n7q1yYzx2g8.srt	According to the video,who spends more time on their phone?	A	D	0.0
627	XS6ysDFTbLU	./video/XS6ysDFTbLU.mp4	short	Artistic Performance	['A. 1.', 'B. 3.', 'C. 2.', 'D. 4.']	Variety Show	Counting Problem	./subtitle/XS6ysDFTbLU.srt	How many people were challenged by the person in the video?	B	A	0.0
628	XS6ysDFTbLU	./video/XS6ysDFTbLU.mp4	short	Artistic Performance	['A. Black.', 'B. Red and white.', 'C. Yellow and green.', 'D. Gray.']	Variety Show	Attribute Perception	./subtitle/XS6ysDFTbLU.srt	What color is the rope pulled by the person during the ice bucket challenge in the video?	B	B	1.0
629	XS6ysDFTbLU	./video/XS6ysDFTbLU.mp4	short	Artistic Performance	"[""A. To raise awareness for Lou Gehrig's disease."", 'B. To encourage individuals to push their limits.', 'C. To invite others to take part in the challenge.', 'D. Not relevant to physical health.']"	Variety Show	Action Reasoning	./subtitle/XS6ysDFTbLU.srt	Based on the words spoken by the person in the video, what is the main significance of the activity shown in the video?	A	B	0.0
630	lNO6cYxqMZk	./video/lNO6cYxqMZk.mp4	short	Artistic Performance	['A. She gave five to her mom.', 'B. She took a bow to the audience.', 'C. She jumped up and down.', 'D. She shared an emotional hug with her mom.']	Acrobatics	Action Recognition	./subtitle/lNO6cYxqMZk.srt	What did the little girl not do after the performance?	B	B	1.0
631	lNO6cYxqMZk	./video/lNO6cYxqMZk.mp4	short	Artistic Performance	['A. Colorful backdrops and props.', 'B. A big visually horrible eye.', 'C. A huge full moon with light effects.', 'D. A plastic white ball with abstract designs.']	Acrobatics	Object Recognition	./subtitle/lNO6cYxqMZk.srt	What is the background for the stage when the little girl and her mom jump on ropes in this video?	C	C	1.0
632	lNO6cYxqMZk	./video/lNO6cYxqMZk.mp4	short	Artistic Performance	['A. Pink.', 'B. Blue.', 'C. White.', 'D. Black.']	Acrobatics	Attribute Perception	./subtitle/lNO6cYxqMZk.srt	What is the color of the woman's nails?	A	A	1.0
633	026dzf-vc5g	./video/026dzf-vc5g.mp4	short	Artistic Performance	['A. Backflip.', 'B. Cartweel.', 'C. Handstand.', 'D. Full split.']	Acrobatics	Action Recognition	./subtitle/026dzf-vc5g.srt	Which skill is not included in the little girl's performance?	A	A	1.0
634	026dzf-vc5g	./video/026dzf-vc5g.mp4	short	Artistic Performance	['A. Depressed.', 'B. Ashamed.', 'C. Calm.', 'D. Excited.']	Acrobatics	Object Reasoning	./subtitle/026dzf-vc5g.srt	According to the little girl's expression, how does she feel after finishing her performance?	D	D	1.0
635	026dzf-vc5g	./video/026dzf-vc5g.mp4	short	Artistic Performance	['A. Pink.', 'B. Blue.', 'C. White.', 'D. Black.']	Acrobatics	Attribute Perception	./subtitle/026dzf-vc5g.srt	What is the color of the little girl wearing shorts?	B	B	1.0
636	KEy2iCzpce4	./video/KEy2iCzpce4.mp4	short	Artistic Performance	"['A. The ending pose in her performance is a backflip followed by a mid-air split.', ""B. The ending pose in her performance is a handstand on top of a partner's shoulders."", 'C. The ending pose in her performance is a handstand on top of a balancing ball.', 'D. The ending pose in her performance is balancing on a single leg with two hands holding the other leg.']"	Acrobatics	Action Recognition	./subtitle/KEy2iCzpce4.srt	What is the ending pose in the performance?	D	D	1.0
637	KEy2iCzpce4	./video/KEy2iCzpce4.mp4	short	Artistic Performance	['A. A scarf.', 'B. Scars.', 'C. A tattoo of a butterfly.', 'D. A sparkling diamond piercing.']	Acrobatics	Object Recognition	./subtitle/KEy2iCzpce4.srt	What can be seen on her chin when she is being interviewd in this video?	B	B	1.0
638	KEy2iCzpce4	./video/KEy2iCzpce4.mp4	short	Artistic Performance	['A. Shirts.', 'B. A necklace.', 'C. Dress.', 'D. A hat.']	Acrobatics	Object Recognition	./subtitle/KEy2iCzpce4.srt	What does the girl wear during the performance?	C	C	1.0
639	dH8l--46j6s	./video/dH8l--46j6s.mp4	short	Artistic Performance	"[""A. The woman balances on the man's shoulders."", 'B. The man and woman perform a synchronized backflip.', ""C. The man handstands on the woman's stomach."", 'D. The man lifts the woman with one hand.']"	Acrobatics	Action Recognition	./subtitle/dH8l--46j6s.srt	Which pose appears in this video?	C	C	1.0
640	dH8l--46j6s	./video/dH8l--46j6s.mp4	short	Artistic Performance	['A. A synchronized cartwheel.', 'B. A backflip with a twist.', 'C. A handstand followed by a somersault.', 'D. A high jump with a full split in mid-air.']	Acrobatics	Object Reasoning	./subtitle/dH8l--46j6s.srt	According to the video, what synchronized action do the two performers engage in simultaneously?	A	D	0.0
641	dH8l--46j6s	./video/dH8l--46j6s.mp4	short	Artistic Performance	['A. Black pants and white shorts.', 'B. Black pants with a naked upper body.', 'C. Black pants with a naked upper body.', 'D. Black pants with a naked upper body.']	Acrobatics	Object Recognition	./subtitle/dH8l--46j6s.srt	What does the male performer wear in this video?	B	C	0.0
642	VmNBt1tzC6k	./video/VmNBt1tzC6k.mp4	short	Artistic Performance	['A. This video is mainly about a gymnastics team showcasing their skills in a high-flying trapeze performance.', 'B. This video is mainly about several gymnastics teams participating an acrobatic competition.', 'C. This video is mainly about a gymnastics team training for an upcoming synchronized swimming competition.', 'D. This video is mainly about a group of gymnasts attempting to break the world record for the longest handstand.']	Acrobatics	Information Synopsis	./subtitle/VmNBt1tzC6k.srt	What is this video mainly about?	B	B	1.0
643	VmNBt1tzC6k	./video/VmNBt1tzC6k.mp4	short	Artistic Performance	['A. The ending pose of the team is a human pyramid with five people stacked on top of each other.', 'B. The ending pose of the team is a synchronized backflip performed simultaneously by all members.', 'C. The ending pose of the team resembles a blossoming flower, with one person positioned in the center and two others on either side.', 'D. The ending pose of the team is a handstand pyramid with all members balancing on their hands.']	Acrobatics	Action Recognition	./subtitle/VmNBt1tzC6k.srt	What is the ending pose of the team at the end of this video?	C	C	1.0
644	VmNBt1tzC6k	./video/VmNBt1tzC6k.mp4	short	Artistic Performance	['A. 4.', 'B. 3.', 'C. 5.', 'D. 6.']	Acrobatics	Counting Problem	./subtitle/VmNBt1tzC6k.srt	How many individuals are in the team, with each person dressed in yellow?	A	B	0.0
645	5Knkqo-lYF0	./video/5Knkqo-lYF0.mp4	short	Artistic Performance	['A. A red hat.', 'B. A yellow headscarf.', 'C. A red headscarf.', 'D. A yellow hat.']	Acrobatics	Object Recognition	./subtitle/5Knkqo-lYF0.srt	What does the girl wear above the head during her performance?	D	D	1.0
646	5Knkqo-lYF0	./video/5Knkqo-lYF0.mp4	short	Artistic Performance	['A. It is over-sized for her.', 'B. It is colorful.', 'C. It is very long.', 'D. None of the above is correct.']	Acrobatics	Attribute Perception	./subtitle/5Knkqo-lYF0.srt	Which sentence best describes the girl's dress?	B	B	1.0
647	5Knkqo-lYF0	./video/5Knkqo-lYF0.mp4	short	Artistic Performance	['A. More than 5 but less than or equal to 10.', 'B. Less than or equal to 5.', 'C. More than 10 but less than or equal to 15.', 'D. More than 15.']	Acrobatics	Counting Problem	./subtitle/5Knkqo-lYF0.srt	How many rolls does the girl do in her performance?	A	A	1.0
648	BrrDT_uYQsg	./video/BrrDT_uYQsg.mp4	short	Artistic Performance	['A. Three of them have a strong build, while one is thin.', 'B. All of them have a strong build.', 'C. All of them have a thin physique.', 'D. None of the above options is correct.']	Acrobatics	Attribute Perception	./subtitle/BrrDT_uYQsg.srt	What is the physique of the athletes?	A	B	0.0
649	BrrDT_uYQsg	./video/BrrDT_uYQsg.mp4	short	Artistic Performance	['A. Hula hooping.', 'B. Nunchakus.', 'C. Horse-vaulting.', 'D. Rope jumping.']	Acrobatics	Action Recognition	./subtitle/BrrDT_uYQsg.srt	Which sports in this video involve athletes utilizing humans as tools?	D	C	0.0
650	BrrDT_uYQsg	./video/BrrDT_uYQsg.mp4	short	Artistic Performance	['A. Red shorts and red pants.', 'B. Yellow shorts and red pants.', 'C. Yellow shorts and yellow pants.', 'D. Red shorts and yellow pants.']	Acrobatics	Object Recognition	./subtitle/BrrDT_uYQsg.srt	What do the athletes wear during their performance?	B	B	1.0
651	jmE9y0vv2aM	./video/jmE9y0vv2aM.mp4	short	Artistic Performance	['A. About 200cm.', 'B. About 150cm.', 'C. About 100cm.', 'D. About 50cm.']	Acrobatics	Attribute Perception	./subtitle/jmE9y0vv2aM.srt	If the man is 180cm tall, what is the estimated diameter of the pilates ball which the man is playing with?	C	C	1.0
652	jmE9y0vv2aM	./video/jmE9y0vv2aM.mp4	short	Artistic Performance	['A. 1.', 'B. 2.', 'C. 3.', 'D. 4.']	Acrobatics	Counting Problem	./subtitle/jmE9y0vv2aM.srt	How many different tricks does the man show inside the house?	C	C	1.0
653	jmE9y0vv2aM	./video/jmE9y0vv2aM.mp4	short	Artistic Performance	['A. White shirts and black shorts.', 'B. Black shirts and white shorts.', 'C. White shirts and white shorts.', 'D. Black shirts and black shorts.']	Acrobatics	Object Recognition	./subtitle/jmE9y0vv2aM.srt	What does the man wear outside the house?	D	D	1.0
654	fSDq8CPXHQM	./video/fSDq8CPXHQM.mp4	short	Artistic Performance	['A. In the gym.', 'B. In the theater stage.', 'C. In the rehearsal room.', 'D. None of the above.']	Acrobatics	Spatial Perception	./subtitle/fSDq8CPXHQM.srt	Where do the events in this video take place?	B	B	1.0
655	fSDq8CPXHQM	./video/fSDq8CPXHQM.mp4	short	Artistic Performance	['A. Pole skills.', 'B. Loop skills.', 'C. Stilts skills.', 'D. Human pyramid skills.']	Acrobatics	Action Recognition	./subtitle/fSDq8CPXHQM.srt	Which skill does not appear in her performance?	C	C	1.0
656	fSDq8CPXHQM	./video/fSDq8CPXHQM.mp4	short	Artistic Performance	['A. A sailboat.', 'B. A forest.', 'C. A moon.', 'D. A computer.']	Acrobatics	Object Recognition	./subtitle/fSDq8CPXHQM.srt	What is the stage background where several male performers are holding long sticks?	A	A	1.0
657	D61jenC5oBA	./video/D61jenC5oBA.mp4	short	Artistic Performance	['A. A human pyramid with the man standing on the shoulders of the woman.', 'B. A full split by the woman.', 'C. A forward roll by the woman.', 'D. A backflip by the man.']	Acrobatics	Action Recognition	./subtitle/D61jenC5oBA.srt	Which skill does not appear in her performance?	D	D	1.0
658	D61jenC5oBA	./video/D61jenC5oBA.mp4	short	Artistic Performance	['A. Grey.', 'B. Yellow.', 'C. Black.', 'D. Purple.']	Acrobatics	Attribute Perception	./subtitle/D61jenC5oBA.srt	What color do the clothes of the two players have in common?	B	B	1.0
659	D61jenC5oBA	./video/D61jenC5oBA.mp4	short	Artistic Performance	['A. A male and a female player are competing in a synchronized swimming routine.', 'B. A male and a female player are collaborating on a painting in an art studio.', 'C. A male and a female player are practicing partner acrobatics.', 'D. A male and a female player are rehearsing a romantic dance routine.']	Acrobatics	Information Synopsis	./subtitle/D61jenC5oBA.srt	What is this video mainly about?	C	C	1.0
660	c9oXTCVcTSE	./video/c9oXTCVcTSE.mp4	short	Life Record	['A. Straw.', 'B. Pencil.', 'C. Scissors.', 'D. Hammer.']	Handicraft	Object Recognition	./subtitle/c9oXTCVcTSE.srt	As depicted in the video, which tool is not necessary to make a rubber band car?	B	D	0.0
661	c9oXTCVcTSE	./video/c9oXTCVcTSE.mp4	short	Life Record	['A. Blue.', 'B. Green.', 'C. Orange.', 'D. Red.']	Handicraft	Attribute Perception	./subtitle/c9oXTCVcTSE.srt	What is the color of the bottle cap?	C	C	1.0
662	c9oXTCVcTSE	./video/c9oXTCVcTSE.mp4	short	Life Record	['A. Making a toy car with everyday objects.', 'B. Handcrafting a plastic airplane with pretty cool science.', 'C. Doing fun science experiment using cola.', 'D. None of the above.']	Handicraft	Information Synopsis	./subtitle/c9oXTCVcTSE.srt	What is this video mainly about?	A	A	1.0
663	FlcVBKTSjRs	./video/FlcVBKTSjRs.mp4	short	Life Record	['A. 16.', 'B. 10.', 'C. 6.', 'D. 12.']	Handicraft	Counting Problem	./subtitle/FlcVBKTSjRs.srt	How many spoons are used to make the holder in the video?	A	D	0.0
664	FlcVBKTSjRs	./video/FlcVBKTSjRs.mp4	short	Life Record	"['A. Grass.', 'B. Animal.', ""C. Human's face."", 'D. Flower.']"	Handicraft	Object Recognition	./subtitle/FlcVBKTSjRs.srt	Which object does the holder made in this video visually resemble?	D	D	1.0
665	FlcVBKTSjRs	./video/FlcVBKTSjRs.mp4	short	Life Record	['A. Making a toy car with everyday objects.', 'B. Learning how to make a spoon candle holder.', 'C. Doing fun science experiment using cola.', 'D. None of the above.']	Handicraft	Information Synopsis	./subtitle/FlcVBKTSjRs.srt	What is the primary focus or main topic of this video?	B	B	1.0
666	OCTekmo_szs	./video/OCTekmo_szs.mp4	short	Life Record	['A. 4.', 'B. 5.', 'C. 2.', 'D. 3.']	Handicraft	Counting Problem	./subtitle/OCTekmo_szs.srt	How many different kinds of snow globes are made in this video?	D	D	1.0
667	OCTekmo_szs	./video/OCTekmo_szs.mp4	short	Life Record	['A. Distilled water.', 'B. Scissors.', 'C. Glitter.', 'D. Super glue.']	Handicraft	Object Recognition	./subtitle/OCTekmo_szs.srt	Which tool is not necessary to make a snow globe?	B	B	1.0
668	OCTekmo_szs	./video/OCTekmo_szs.mp4	short	Life Record	['A. Learning how to make a spoon candle holder.', 'B. Teaching how to handcraft a plastic ball.', 'C. Learning how to DIY snow globes.', 'D. None of the above.']	Handicraft	Information Synopsis	./subtitle/OCTekmo_szs.srt	What is this video mainly about?	C	C	1.0
669	g1MCVp5xICM	./video/g1MCVp5xICM.mp4	short	Life Record	['A. Pink.', 'B. Black and white.', 'C. Light yellow.', 'D. None of above is right.']	Handicraft	Attribute Perception	./subtitle/g1MCVp5xICM.srt	What is the color of the pistil in this video?	C	C	1.0
670	g1MCVp5xICM	./video/g1MCVp5xICM.mp4	short	Life Record	['A. Right.', 'B. Left.', 'C. Both two hands.', 'D. None of the hands.']	Handicraft	Spatial Perception	./subtitle/g1MCVp5xICM.srt	As can be seen in the video, which hand is used to hold the glue gun?	A	A	1.0
671	g1MCVp5xICM	./video/g1MCVp5xICM.mp4	short	Life Record	['A. (b)(a)(d)(c).', 'B. (b)(d)(a)(c).', 'C. (a)(b)(c)(d).', 'D. (d)(a)(c)(b).']	Handicraft	Temporal Reasoning	./subtitle/g1MCVp5xICM.srt	"What is the right order of the tools appearing in the video when making a paper peony?
(a) Glue gun.
(b) Yellow paper.
(c) Pink paper.
(d) Scissors."	B	B	1.0
672	BiJtPU9uP0c	./video/BiJtPU9uP0c.mp4	short	Life Record	['A. 4.', 'B. 3.', 'C. 5.', 'D. 2.']	Handicraft	Counting Problem	./subtitle/BiJtPU9uP0c.srt	How many different kinds of animal faces are made in this video?	B	B	1.0
673	BiJtPU9uP0c	./video/BiJtPU9uP0c.mp4	short	Life Record	['A. Circle.', 'B. Rectangle.', 'C. Square.', 'D. Triangle.']	Handicraft	Attribute Perception	./subtitle/BiJtPU9uP0c.srt	What is the shape of the paper shown in the video?	C	C	1.0
674	BiJtPU9uP0c	./video/BiJtPU9uP0c.mp4	short	Life Record	['A. A pig.', 'B. A cat.', 'C. A dog.', 'D. A monkey.']	Handicraft	Object Recognition	./subtitle/BiJtPU9uP0c.srt	What is the second paper animal made in this video?	A	A	1.0
675	OQAf_rTw7n8	./video/OQAf_rTw7n8.mp4	short	Life Record	['A. 4.', 'B. 5.', 'C. 6.', 'D. 3.']	Handicraft	Counting Problem	./subtitle/OQAf_rTw7n8.srt	How many candle holders are made in this video?	D	D	1.0
676	OQAf_rTw7n8	./video/OQAf_rTw7n8.mp4	short	Life Record	['A. Spoon.', 'B. Plastic cup.', 'C. String.', 'D. Plastic pearl.']	Handicraft	Object Reasoning	./subtitle/OQAf_rTw7n8.srt	What common objects do the candle holders made in this video share?	B	B	1.0
677	OQAf_rTw7n8	./video/OQAf_rTw7n8.mp4	short	Life Record	['A. Next to the holder made of spoons.', 'B. On the bottom of the table.', 'C. In the middle of the cups.', 'D. There is no candle in this video.']	Handicraft	Spatial Perception	./subtitle/OQAf_rTw7n8.srt	As shown in the video, where are the candles placed?	C	A	0.0
678	qhW8L_GAodE	./video/qhW8L_GAodE.mp4	short	Life Record	['A. Eight small white caps around a big orange cap.', 'B. Eight small white caps are in a line and above a big orange cap.', 'C. Eight small white caps are in a circle and above a big orange cap..', 'D. Eight small white caps are in a square and around a big orange cap.']	Handicraft	Spatial Perception	./subtitle/qhW8L_GAodE.srt	How are the bottle caps placed at the beginning of this video?	A	A	1.0
679	qhW8L_GAodE	./video/qhW8L_GAodE.mp4	short	Life Record	['A. A bloon and a bear.', 'B. An apple and a bear.', 'C. A zongzi and a bloon.', 'D. A bloon and an ice cream.']	Handicraft	Object Recognition	./subtitle/qhW8L_GAodE.srt	What are the objects next to the girl on the sticker of the orange cap?	D	D	1.0
680	qhW8L_GAodE	./video/qhW8L_GAodE.mp4	short	Life Record	['A. It serves as a keychain.', 'B. It serves as a cup coaster.', 'C. It serves as a coin bank.', 'D. It serves as a storage box.']	Handicraft	Action Reasoning	./subtitle/qhW8L_GAodE.srt	What is the objective or purpose of this do-it-yourself (DIY) project?	B	B	1.0
681	ufZMrlZRn8o	./video/ufZMrlZRn8o.mp4	short	Life Record	['A. 3*20 cm.', 'B. 5*20 cm.', 'C. 3.5*20 cm.', 'D. 3.5*2 cm.']	Handicraft	Attribute Perception	./subtitle/ufZMrlZRn8o.srt	What is the size of the rectangular paper?	C	C	1.0
682	ufZMrlZRn8o	./video/ufZMrlZRn8o.mp4	short	Life Record	['A. 4.', 'B. 5.', 'C. 6.', 'D. 7.']	Handicraft	Counting Problem	./subtitle/ufZMrlZRn8o.srt	As depicted in the video, how many times is the paper folded before cutting by scissors?	D	A	0.0
683	ufZMrlZRn8o	./video/ufZMrlZRn8o.mp4	short	Life Record	['A. Making the paper look more like a heart.', 'B. Destroying the paper.', 'C. Cutting the paper into pieces.', 'D. None of the above.']	Handicraft	Object Reasoning	./subtitle/ufZMrlZRn8o.srt	What is the function of the scissors that are used in the video?	A	C	0.0
684	IKtnfFHjERg	./video/IKtnfFHjERg.mp4	short	Life Record	['A. Pink for the left and left for the right.', 'B. Yellow for the left and pink for the right.', 'C. Both are pink.', 'D. Both are yellow.']	Handicraft	Attribute Perception	./subtitle/IKtnfFHjERg.srt	What is the color of the two butterflies made of paper?	B	B	1.0
685	IKtnfFHjERg	./video/IKtnfFHjERg.mp4	short	Life Record	['A. Along the center line.', 'B. Off two corners to the center line.', 'C. Along the diagonal.', 'D. Off two corners to the diagonal.']	Handicraft	Action Recognition	./subtitle/IKtnfFHjERg.srt	According to the video, in what manner is the paper initially folded?	C	C	1.0
686	IKtnfFHjERg	./video/IKtnfFHjERg.mp4	short	Life Record	['A. (a)(b)(c).', 'B. (b)(a)(c).', 'C. (a)(c)(b).', 'D. (c)(b)(a).']	Handicraft	Temporal Reasoning	./subtitle/IKtnfFHjERg.srt	"What is the right order of actions the video encourages to do after finishing making a paper butterfly?
(a) Click Likes.
(b) Subscribe.
(c) Set Notifications."	A	A	1.0
687	B_OL2TSrpKM	./video/B_OL2TSrpKM.mp4	short	Life Record	['A. To damage its functionality of the stick.', 'B. To sculpture a word on the stick.', 'C. To create loops and stitches on the stick.', 'D. To drill a keyring hole on the popsicle stick.']	Handicraft	Object Reasoning	./subtitle/B_OL2TSrpKM.srt	What is the intended use or function of the needle used in the video?	D	D	1.0
688	B_OL2TSrpKM	./video/B_OL2TSrpKM.mp4	short	Life Record	['A. Google.', 'B. YouTube.', 'C. Facebook.', 'D. Spotify.']	Handicraft	OCR Problems	./subtitle/B_OL2TSrpKM.srt	What is written on the first made keychains?	B	B	1.0
689	B_OL2TSrpKM	./video/B_OL2TSrpKM.mp4	short	Life Record	['A. Drill a keyring hole on the popsicle stick.', 'B. Decorate the sticks using colored pens.', 'C. Put the keychain through the hole.', 'D. Cut a small piece from the entire stick.']	Handicraft	Action Recognition	./subtitle/B_OL2TSrpKM.srt	What is the last step that this video showcases to DIY a keychain using popsicle sticks?	C	C	1.0
690	KfTtpoIovuk	./video/KfTtpoIovuk.mp4	short	Life Record	['A. Egg.', 'B. Beef.', 'C. Cake.', 'D. Cheese.']	Food	Object Recognition	./subtitle/KfTtpoIovuk.srt	What does the chef in the video end up cutting with a knife?	A	A	1.0
691	KfTtpoIovuk	./video/KfTtpoIovuk.mp4	short	Life Record	['A. 4.', 'B. 1.', 'C. 2.', 'D. 3.']	Food	Counting Problem	./subtitle/KfTtpoIovuk.srt	How many customers can be seen in the video?	C	C	1.0
692	KfTtpoIovuk	./video/KfTtpoIovuk.mp4	short	Life Record	['A. Chef recruitment.', 'B. Wine advertisement.', 'C. Tourism publicity.', 'D. Restaurant publicity.']	Food	Information Synopsis	./subtitle/KfTtpoIovuk.srt	What is the subject matter of the video?	D	D	1.0
693	zPx3EibuO_w	./video/zPx3EibuO_w.mp4	short	Life Record	['A. Cucumber.', 'B. Tomato.', 'C. Tofu.', 'D. Almond.']	Food	Object Recognition	./subtitle/zPx3EibuO_w.srt	Which food item is cut in half with a knife by the person in the video?	B	B	1.0
694	zPx3EibuO_w	./video/zPx3EibuO_w.mp4	short	Life Record	['A. Sugar.', 'B. Noodles.', 'C. Tomato.', 'D. Shredded cucumber.']	Food	Object Reasoning	./subtitle/zPx3EibuO_w.srt	Which ingredient in the video is not used as a decoration at the end of the video?	B	A	0.0
695	zPx3EibuO_w	./video/zPx3EibuO_w.mp4	short	Life Record	['A. Food introduction.', 'B. Food advertising.', 'C. Food-making tutorial.', 'D. Handmade tutorial.']	Food	Information Synopsis	./subtitle/zPx3EibuO_w.srt	What is the topic of this video?	C	C	1.0
696	J2rlJV7zKZw	./video/J2rlJV7zKZw.mp4	short	Life Record	['A. Little iron bars.', 'B. Scoop.', 'C. Stir by hand.', 'D. Mixer.']	Food	Object Recognition	./subtitle/J2rlJV7zKZw.srt	What tool is used in the video to stir ingredients?	D	B	0.0
697	J2rlJV7zKZw	./video/J2rlJV7zKZw.mp4	short	Life Record	['A. Egg.', 'B. Lime juice.', 'C. Vegetable oil.', 'D. Sugar.']	Food	Object Recognition	./subtitle/J2rlJV7zKZw.srt	Which ingredient is used first in the video to make this dish?	A	A	1.0
698	J2rlJV7zKZw	./video/J2rlJV7zKZw.mp4	short	Life Record	['A. Black truffle.', 'B. Black raisin.', 'C. Black olives.', 'D. Black sugar.']	Food	Object Reasoning	./subtitle/J2rlJV7zKZw.srt	Which of the following could have caused the dark spots in the mayonnaise?	A	A	1.0
699	v0m3E_uSyFg	./video/v0m3E_uSyFg.mp4	short	Life Record	['A. Yellow.', 'B. Pink.', 'C. Red.', 'D. Orange.']	Food	Attribute Perception	./subtitle/v0m3E_uSyFg.srt	What color is the spoon used for mixing in the video?	B	B	1.0
700	v0m3E_uSyFg	./video/v0m3E_uSyFg.mp4	short	Life Record	['A. Fermentation.', 'B. Steep.', 'C. Baking in the oven.', 'D. Aeration.']	Food	Object Reasoning	./subtitle/v0m3E_uSyFg.srt	Why does the food in the video swell?	C	C	1.0
701	v0m3E_uSyFg	./video/v0m3E_uSyFg.mp4	short	Life Record	['A. Pizza.', 'B. Cheese block.', 'C. Bread.', 'D. Scone.']	Food	Object Recognition	./subtitle/v0m3E_uSyFg.srt	What kind of food is being prepared in the video?	D	D	1.0
702	kij9GXWdmik	./video/kij9GXWdmik.mp4	short	Life Record	['A. Cut off pineapple core for garnish.', 'B. Cut off the core of the pineapple so as not to affect the flavor.', 'C. For the beauty of the pineapple.', 'D. More favorable pineapple slices.']	Food	Object Reasoning	./subtitle/kij9GXWdmik.srt	What is the reason for cutting out the center of the pineapple slice in the video?	B	D	0.0
703	kij9GXWdmik	./video/kij9GXWdmik.mp4	short	Life Record	['A. Black.', 'B. Gray.', 'C. Green.', 'D. Blown.']	Food	Attribute Perception	./subtitle/kij9GXWdmik.srt	What is the color of the clothing worn by the individuals in the video?	A	A	1.0
704	kij9GXWdmik	./video/kij9GXWdmik.mp4	short	Life Record	['A. Remove the core.', 'B. Cut off the head.', 'C. Peel off the skin.', 'D. Clean the outer skin.']	Food	Temporal Perception	./subtitle/kij9GXWdmik.srt	What is the second step in the production process?	C	B	0.0
705	NAahAX62MZ0	./video/NAahAX62MZ0.mp4	short	Life Record	['A. 9.', 'B. 6.', 'C. 8.', 'D. 7.']	Food	Counting Problem	./subtitle/NAahAX62MZ0.srt	How many peppers can be seen on the plate in the video's final shot?	D	C	0.0
706	NAahAX62MZ0	./video/NAahAX62MZ0.mp4	short	Life Record	['A. Eggplant.', 'B. Pepper.', 'C. Avocado.', 'D. Green grape.']	Food	Object Reasoning	./subtitle/NAahAX62MZ0.srt	What are the main ingredients in the video?	B	B	1.0
707	NAahAX62MZ0	./video/NAahAX62MZ0.mp4	short	Life Record	"['A. Deep fry.', 'B. Go bad.', 'C. Color with paint.', ""D. It's ripe.""]"	Food	Object Reasoning	./subtitle/NAahAX62MZ0.srt	Why does the surface of the pepper in the video turn yellow?	A	A	1.0
708	YZ11C-U7S8I	./video/YZ11C-U7S8I.mp4	short	Life Record	['A. Tiger.', 'B. Fox.', 'C. Chick.', 'D. Crocodile.']	Food	Object Recognition	./subtitle/YZ11C-U7S8I.srt	What animal doesn't appear in the video?	C	C	1.0
709	YZ11C-U7S8I	./video/YZ11C-U7S8I.mp4	short	Life Record	['A. An introduction to eating healthy food.', 'B. An introduction to food.', 'C. An introduction to animal eating habits.', 'D. Food advertising.']	Food	Information Synopsis	./subtitle/YZ11C-U7S8I.srt	Which of the following best describes the topic of this video?	A	A	1.0
710	YZ11C-U7S8I	./video/YZ11C-U7S8I.mp4	short	Life Record	['A. It stands on the chair.', 'B. It eats healthy food.', 'C. It steps into its young adulthood.', 'D. It insists on daily exercise.']	Food	Object Reasoning	./subtitle/YZ11C-U7S8I.srt	What is the reason for the crocodile in the video to grow taller?	B	B	1.0
711	NXeHeEHj9Xc	./video/NXeHeEHj9Xc.mp4	short	Life Record	['A. How to eat potato chips.', 'B. The birth of French fries.', 'C. How to make French fries.', 'D. The birth of potato chips.']	Food	Information Synopsis	./subtitle/NXeHeEHj9Xc.srt	Which of the following best describes the topic of the video?	D	D	1.0
712	NXeHeEHj9Xc	./video/NXeHeEHj9Xc.mp4	short	Life Record	['A. Left-handedly.', 'B. Right-handedly.', 'C. Using both hands.', 'D. Using a fork.']	Food	Action Recognition	./subtitle/NXeHeEHj9Xc.srt	How do the people in the video eat potato chips?	C	D	0.0
713	NXeHeEHj9Xc	./video/NXeHeEHj9Xc.mp4	short	Life Record	"['A. Potato chips.', 'B. French fries.', 'C. He likes them both.', ""D. He doesn't like either.""]"	Food	Action Reasoning	./subtitle/NXeHeEHj9Xc.srt	Which snack does the main character in the video prefer?	A	A	1.0
714	VnvG08masio	./video/VnvG08masio.mp4	short	Life Record	['A. Making soup.', 'B. BBQ.', 'C. Stir fry.', 'D. Fire hazard.']	Food	Object Reasoning	./subtitle/VnvG08masio.srt	Which of the following cooking methods causes the smoke seen in the video?	B	B	1.0
715	VnvG08masio	./video/VnvG08masio.mp4	short	Life Record	['A. 4.', 'B. 2.', 'C. 3.', 'D. 1.']	Food	Counting Problem	./subtitle/VnvG08masio.srt	Which dish is served last in the video?	C	A	0.0
