task_type	prefix	duration	video	question	answer	candidates	index	prediction	score
plotQA	video/1_plotQA	560.0	movie101_4.mp4	What happened when a person in black clothing and a person wearing glasses were driving a race car?	Had a car accident	['Earthquake', 'Fire', 'Explosion', 'Had a car accident']	264	(D) Had a car accident	0.0
plotQA	video/1_plotQA	560.0	movie101_4.mp4	Why didn't the person in the red jacket stab the person in camouflage clothing at the end of the video?	Stopped by a person on a motorcycle	['Got injured', 'Ran away', 'Dropped the weapon', 'Stopped by a person on a motorcycle']	422	(C) Dropped the weapon	0.0
plotQA	video/1_plotQA	403.0	movie101_31.mp4	How many bullets are there on the table in the movie clip?	10	['2', '8', '6', '10']	250	(C) 6	1.0
plotQA	video/1_plotQA	403.0	movie101_31.mp4	What color is the clothing of the injured officer in the police station?	Green	['Blue', 'White', 'Yellow', 'Green']	277	(D) Green	0.0
plotQA	video/1_plotQA	403.0	movie101_31.mp4	What color is the bag placed on the table at the end of the video?	Green	['Blue', 'White', 'Green', 'Yellow']	321	(C) Green	0.0
plotQA	video/1_plotQA	403.0	movie101_31.mp4	How many cars are there by the small river?	Two	['One', 'Six', 'Two', 'Four']	432	(C) Two	0.0
plotQA	video/1_plotQA	385.0	movie101_69.mp4	What did the white-haired man do after receiving the phone call?	Dump the goods	['Dump the goods', 'Sleep', 'Drink', 'Eat']	259	(A) Dump the goods	0.0
plotQA	video/1_plotQA	385.0	movie101_69.mp4	In the video, what did the man in black dig the goods out of?	Ice	['Cabinet', 'Water', 'Soil', 'Ice']	290	(C) Soil	1.0
plotQA	video/1_plotQA	385.0	movie101_69.mp4	Why did the man in the floral shirt run away?	Being hunted	['Being hunted', 'Rushing for time', 'Dine and dash', 'Chasing the bus']	442	(A) Being hunted	1.0
topic_reasoning	video/7_topic_reasoning	385.0	movie101_69.mp4	What event is depicted in the entire video?	Police drug bust	['Police drug bust', 'Technology research', 'Love story', 'Action fight']	1937	(A) Police drug bust	0.0
topic_reasoning	video/7_topic_reasoning	385.0	movie101_69.mp4	What is the genre of this film?	Police and criminals	['Police and criminals', 'Romance', 'Science fiction', 'Mystery']	2016	(A) Police and criminals	1.0
plotQA	video/1_plotQA	322.0	tomjerry_11.mp4	Why are all the cartoon cats lying outside?	Because they were hit by the cartoon mouse	['They are resting', 'Because they were hit by the cartoon mouse', 'They were coerced by their owner', 'They are sick']	261	(B) Because they were hit by the cartoon mouse	0.0
plotQA	video/1_plotQA	322.0	tomjerry_11.mp4	What did the cartoon cat throw at the two cartoon mice?	A black ball	['A shoe', 'A black ball', 'A pair of gloves', 'A flat pan']	338	(B) A black ball	0.0
plotQA	video/1_plotQA	322.0	tomjerry_11.mp4	Why does the cartoon cat exercise?	To defeat the cartoon mouse in yellow clothes	['To defeat the cartoon mouse in yellow clothes', 'To defeat their kind', 'To attract the opposite sex', 'To attract the attention of their owner']	444	(A) To defeat the cartoon mouse in yellow clothes	0.0
plotQA	video/1_plotQA	322.0	tomjerry_11.mp4	Why is the grey cartoon cat making a phone call?	To call other cartoon cats	['To communicate with the doctor', 'To inquire about the situation', 'To call other cartoon cats', 'To communicate with the owner']	507	(B) To inquire about the situation	1.0
topic_reasoning	video/7_topic_reasoning	322.0	tomjerry_11.mp4	What character appears the most in the video?	Cartoon mouse	['Cartoon fish', 'Cartoon dog', 'Cartoon bear', 'Cartoon mouse']	1945	(D) Cartoon mouse	0.0
plotQA	video/1_plotQA	535.0	movie101_3.mp4	What was the final outcome of the person in the yellow vest and the other man with long hair?	They successfully escaped from the roof	['One escaped and one was caught', 'They successfully escaped from the roof', 'Caught', 'Hid']	263	(C) Caught	1.0
plotQA	video/1_plotQA	535.0	movie101_3.mp4	Why didn't the naked man at the beginning of the video manage to escape?	He was bound by chains	['Fell down', 'Caught', 'Injured', 'He was bound by chains']	294	(D) He was bound by chains	1.0
plotQA	video/1_plotQA	740.0	movie101_16.mp4	What color is the sweater worn by the man at the beginning of the video?	Red	['Red', 'Blue', 'Yellow', 'White']	266	(A) Red	1.0
plotQA	video/1_plotQA	740.0	movie101_16.mp4	What kind of animals are being kept in the video?	Sheep	['Sheep', 'Dog', 'Cat', 'Pig']	311	(A) Sheep	0.0
plotQA	video/1_plotQA	740.0	movie101_16.mp4	What color is the water bottle on the table in the video?	Green	['White', 'Yellow', 'Blue', 'Green']	352	(C) Blue	1.0
plotQA	video/1_plotQA	740.0	movie101_16.mp4	What color is the table in the scene where one person gives money to another at the end of the video?	Blue	['White', 'Blue', 'Green', 'Yellow']	385	(B) Blue	0.0
topic_reasoning	video/7_topic_reasoning	740.0	movie101_16.mp4	What type of movie is the scene in the video?	Documentary	['Science Fiction', 'Comedy', 'Horror', 'Documentary']	1949	(C) Horror	0.0
plotQA	video/1_plotQA	240.0	movie101_33.mp4	What color is the boat on the sea in the movie?	White	['Black', 'White', 'Blue', 'Green']	268	(B) White	1.0
plotQA	video/1_plotQA	240.0	movie101_33.mp4	How many of the five people sitting on the ground in the movie are wearing hats?	Four	['Three', 'Two', 'One', 'Four']	273	(B) Two	0.0
plotQA	video/1_plotQA	240.0	movie101_33.mp4	How many of the five people sitting on the ground in the movie are wearing sunglasses?	One	['Three', 'One', 'Four', 'Two']	276	(B) One	1.0
plotQA	video/1_plotQA	240.0	movie101_33.mp4	How many colors of smoke grenades are there in the movie?	Three	['One', 'Three', 'Four', 'Two']	278	(D) Two	1.0
topic_reasoning	video/7_topic_reasoning	240.0	movie101_33.mp4	What is the genre of this movie clip?	Action	['Horror', 'Comedy', 'War', 'Action']	1966	(D) Action	0.0
topic_reasoning	video/7_topic_reasoning	240.0	movie101_33.mp4	In which scene does the footage of being chased by bees in the video take place?	Forest	['Forest', 'City', 'Snowy Mountain', 'Grassland']	1988	(A) Forest	1.0
plotQA	video/1_plotQA	789.0	movie101_0.mp4	What is the mood of the man in the red suit when he is talking with the woman in the tunnel?	Happy	['Sad', 'Neutral', 'Happy', 'Disappointed']	270	(C) Happy	1.0
plotQA	video/1_plotQA	789.0	movie101_0.mp4	Why did the three people appearing at the beginning of the video stop in the forest?	They want to observe the castle in the forest	['Rest', 'They want to observe the castle in the forest', 'Play', 'Sleep']	299	(B) They want to observe the castle in the forest	0.0
plotQA	video/1_plotQA	789.0	movie101_0.mp4	Why was there an explosion on the city street?	A car accident caused the car to explode	"['Gas explosion', ""There's a bomb"", 'A car accident caused the car to explode', 'Fire']"	451	(B) There's a bomb	0.0
topic_reasoning	video/7_topic_reasoning	789.0	movie101_0.mp4	What is the weather in the video?	Sunny	['Sunny', 'Blizzard', 'Heavy Rain', 'Overcast']	2021	(A) Sunny	0.0
plotQA	video/1_plotQA	627.0	movie101_61.mp4	Why is the woman hiding from the police at the beginning of the video?	Because she is doing illegal work	"['Because she is doing illegal work', 'Because she has a history of evading the police', 'Because she is being coerced by a villain', ""Because she is an undercover cop and doesn't want to blow her cover""]"	271	(D) Because she is an undercover cop and doesn't want to blow her cover	0.0
plotQA	video/1_plotQA	627.0	movie101_61.mp4	What is the man's reaction upon seeing the woman in the video?	Indifferent	['Indifferent', 'Sad', 'Joyful', 'Neutral']	429	(B) Sad	0.0
plotQA	video/1_plotQA	627.0	movie101_61.mp4	What is the profession of the female protagonist in the video?	Photographer	['Photographer', 'Teacher', 'Doctor', 'Nanny']	452	(A) Photographer	1.0
topic_reasoning	video/7_topic_reasoning	627.0	movie101_61.mp4	What type of film is this?	Romance	['Romance', 'Thriller', 'Mystery', 'Action']	1970	(A) Romance	1.0
plotQA	video/1_plotQA	319.0	movie101_41.mp4	What color is the pottery on the ground in the video?	Red	['Black', 'Red', 'Blue', 'Green']	272	(A) Black	1.0
plotQA	video/1_plotQA	319.0	movie101_41.mp4	What is floating on the river's surface?	Animal Skin	['Leaves', 'Ducks', 'Feathers', 'Animal Skin']	300	(A) Leaves	1.0
plotQA	video/1_plotQA	319.0	movie101_41.mp4	What is the mask worn by the diving wild man made of?	Bone	['Plastic', 'Bone', 'Wood', 'Stone']	329	(B) Bone	1.0
plotQA	video/1_plotQA	319.0	movie101_41.mp4	What are the hunting tools used by the wild man made of?	Wooden Stick, Stone and Hemp Rope	['Knife', 'Sword', 'Gun', 'Wooden Stick, Stone and Hemp Rope']	453	(D) Wooden Stick, Stone and Hemp Rope	1.0
topic_reasoning	video/7_topic_reasoning	319.0	movie101_41.mp4	In what setting does the scene in the video take place?	Forest	['Forest', 'Snowy Mountain', 'City', 'Island']	2056	(D) Island	1.0
plotQA	video/1_plotQA	473.0	movie101_23.mp4	What color is the suit that the man playing violin on the hot air balloon in the video is wearing?	Black	['Red', 'Yellow', 'Green', 'Black']	283	(D) Black	0.0
plotQA	video/1_plotQA	473.0	movie101_23.mp4	What color is the top that the long-haired man is wearing in the scene where several people are communicating indoors in the video?	Yellow	['Red', 'Blue', 'Yellow', 'Green']	285	(C) Yellow	0.0
plotQA	video/1_plotQA	473.0	movie101_23.mp4	What shape is the building in the video?	Guitar	['Piano', 'Pineapple', 'Guitar', 'Apple']	286	(C) Guitar	0.0
plotQA	video/1_plotQA	473.0	movie101_23.mp4	What color is the backdrop of the stage where the elementary school student stands in the video?	Red	['White', 'Blue', 'Red', 'Green']	289	(C) Red	1.0
topic_reasoning	video/7_topic_reasoning	473.0	movie101_23.mp4	What type of movie is the scene in the video?	Documentary	['Action', 'Horror', 'Science Fiction', 'Documentary']	2081	(C) Science Fiction	1.0
plotQA	video/1_plotQA	458.0	movie101_59.mp4	Why are the two men in the video looking for a cabinet shop?	Robbery	['To get change', 'To ask a question', 'Robbery', 'To buy something']	284	(C) Robbery	0.0
plotQA	video/1_plotQA	458.0	movie101_59.mp4	Why was the man's ear cut off in the video?	Another man accidentally cut the wrong person	['Because he got into a fight with someone', 'Another man accidentally cut the wrong person', 'Because he violated some agreement and was punished', 'He was retaliated against by others']	435	(C) Because he violated some agreement and was punished	1.0
plotQA	video/1_plotQA	458.0	movie101_59.mp4	Why does one of the men close the door after entering the cabinet shop in the video?	He wants to inflict violence on the people in the cabinet shop	['He wants to inflict violence on the people in the cabinet shop', 'He noticed a group of people chasing him', 'He found a dangerous beast', 'He realized there was a sudden fire in the cabinet shop']	460	(D) He realized there was a sudden fire in the cabinet shop	1.0
plotQA	video/1_plotQA	410.0	en_tv_38.mp4	What color of clothes is the elderly person on the sickbed wearing in the video?	Blue	['Black', 'Red', 'Blue', 'Yellow']	292	(C) Blue	0.0
plotQA	video/1_plotQA	410.0	en_tv_38.mp4	What is the man in orange clothes holding in the video?	Flower	['Flower', 'Stick', 'Computer', 'Water cup']	396	(A) Flower	1.0
plotQA	video/1_plotQA	410.0	en_tv_38.mp4	What does the woman in the video take and leave the ward with?	Soup	['Water', 'Mobile phone', 'Computer', 'Soup']	466	(D) Soup	0.0
topic_reasoning	video/7_topic_reasoning	410.0	en_tv_38.mp4	What type of film is this?	Comedy	['Thriller', 'Comedy', 'Action', 'Romance']	2123	(B) Comedy	1.0
plotQA	video/1_plotQA	467.0	en_tv_37.mp4	Where did the girl in black clothes get hurt?	Neck	['Arm', 'Shoulder', 'Neck', 'Hand']	293	(C) Neck	0.0
plotQA	video/1_plotQA	467.0	en_tv_37.mp4	What color of clothes does the girl who lost her life wear?	White	['Red', 'White', 'Blue', 'Green']	323	(B) White	1.0
plotQA	video/1_plotQA	467.0	en_tv_37.mp4	What color of clothes does the woman who appears at the end wear?	Red	['Red', 'Black', 'White', 'Green']	469	(B) Black	1.0
plotQA	video/1_plotQA	279.0	movie101_7.mp4	What was the weather during the outdoor car accident scene?	Sunny	['Sunny', 'Foggy', 'Snowy', 'Rainy']	304	(D) Rainy	0.0
plotQA	video/1_plotQA	279.0	movie101_7.mp4	What color is the cover of the books on the bookshelf at the end of the video?	White	['Green', 'Yellow', 'Red', 'White']	370	(C) Red	1.0
plotQA	video/1_plotQA	279.0	movie101_7.mp4	What else was on the bookshelf at the end of the video besides books?	A pot of green plant	['Cellphone', 'Water Cup', 'Remote Control', 'A pot of green plant']	478	(D) A pot of green plant	1.0
plotQA	video/1_plotQA	347.0	xiaoliyu_8.mp4	What is put on the head of the fish with fins like butterfly wings?	Crown	['Hat', 'Ribbon', 'Crown', 'Headscarf']	312	(C) Crown	0.0
plotQA	video/1_plotQA	347.0	xiaoliyu_8.mp4	Where does the cartoon fish hide to escape the attack of the brown cartoon fish?	Undersea crevice	['In the seaweed', 'In the coral pile', 'Under the rock', 'Undersea crevice']	314	(A) In the seaweed	0.0
plotQA	video/1_plotQA	347.0	xiaoliyu_8.mp4	Why does the brown cartoon fish attack the cartoon snake and cartoon lobster?	Because the cartoon snake attacked them from behind	"[""Because it's angry"", 'No reason', 'Because the cartoon snake attacked them from behind', ""Because it's fun""]"	318	(C) Because the cartoon snake attacked them from behind	0.0
plotQA	video/1_plotQA	399.0	xiaoliyu_4.mp4	What color is the blanket that flew away with the cartoon animals?	Golden	['Golden', 'White', 'Black', 'Green']	317	(A) Golden	1.0
plotQA	video/1_plotQA	399.0	xiaoliyu_4.mp4	Why is the cartoon shark chasing the cartoon carp?	To snatch teeth	['To snatch teeth', 'Attack', 'Play', 'Snatch food']	343	(A) To snatch teeth	0.0
plotQA	video/1_plotQA	399.0	xiaoliyu_4.mp4	What did the cartoon turtle encounter in the clouds?	Cartoon little angel	['Cartoon carp', 'Cartoon car', 'Cartoon seahorse', 'Cartoon little angel']	486	(D) Cartoon little angel	0.0
topic_reasoning	video/7_topic_reasoning	399.0	xiaoliyu_4.mp4	What type of video is this?	Cartoon animation	['Mystery', 'Thriller', 'Science Fiction', 'Cartoon animation']	2064	(D) Cartoon animation	0.0
plotQA	video/1_plotQA	482.0	en_tv_24.mp4	What color is the lamp next to the two people chatting in the clip?	Green	['Red', 'Blue', 'Black', 'Green']	319	(B) Blue	1.0
plotQA	video/1_plotQA	482.0	en_tv_24.mp4	What color is the taxi at the beginning of the clip?	Yellow	['Yellow', 'Blue', 'Black', 'Red']	344	(A) Yellow	0.0
plotQA	video/1_plotQA	482.0	en_tv_24.mp4	What color is the top worn by the woman among the three people chatting at the end of the clip?	Green	['Green', 'Red', 'Blue', 'Black']	380	(D) Black	0.0
plotQA	video/1_plotQA	482.0	en_tv_24.mp4	What color is the police car in the video?	White	['White', 'Blue', 'Red', 'Black']	487	(D) Black	0.0
plotQA	video/1_plotQA	294.0	movie101_103.mp4	Why does the man need to close the bedroom window?	It starts to rain outside	['It starts to rain outside', 'Windy', 'Going to talk', 'Cold']	320	(A) It starts to rain outside	1.0
plotQA	video/1_plotQA	294.0	movie101_103.mp4	How does the woman in the white coat leave after eating?	Someone else drives her away	['Someone else drives her away', 'Rides her own bike', 'Takes the subway', 'Takes public bike']	322	(A) Someone else drives her away	1.0
plotQA	video/1_plotQA	294.0	movie101_103.mp4	At the beginning of the video, what are the two men doing in the office?	Each looking at their own phones	['Each looking at their own phones', 'Eating', 'Working', 'Drinking']	326	(A) Each looking at their own phones	1.0
plotQA	video/1_plotQA	311.0	tomjerry_1.mp4	From where does the cartoon mouse escape to the outside of the house?	Window	['Door', 'Tunnel', 'Hole in the wall', 'Window']	327	(D) Window	0.0
plotQA	video/1_plotQA	311.0	tomjerry_1.mp4	What does the cartoon cat use to drag the cartoon mouse?	Fishing rod	['Pushcart', 'Fishing rod', 'Rope', 'Tow truck']	349	(B) Fishing rod	0.0
plotQA	video/1_plotQA	311.0	tomjerry_1.mp4	Where does the grey cartoon cat hide the cartoon mouse?	Under the grey cartoon cat's bottom	"['On the sofa', ""Under the grey cartoon cat's bottom"", 'On the table', 'On the refrigerator']"	472	(B) Under the grey cartoon cat's bottom	0.0
plotQA	video/1_plotQA	311.0	tomjerry_1.mp4	What action does the cartoon mouse take after hitting the brown cartoon cat?	Sticks to the cartoon cat's face	"['Drinking water', 'Playing ball', ""Sticks to the cartoon cat's face"", 'Eating snacks']"	494	(C) Sticks to the cartoon cat's face	1.0
topic_reasoning	video/7_topic_reasoning	311.0	tomjerry_1.mp4	Where is the main setting of the video?	Outside the house	['Desert', 'Grassland', 'Outside the house', 'Inside the house']	2058	(C) Outside the house	1.0
plotQA	video/1_plotQA	415.0	xiaoliyu_5.mp4	Why did the cartoon seahorse stop attacking?	Because the cartoon snake used the cartoon turtle to block it	"['Because the target has left its attack range', 'Because the cartoon snake used the cartoon turtle to block it', 'Because it has no strength', ""Because it doesn't want to continue hurting the cartoon snake""]"	328	(B) Because the cartoon snake used the cartoon turtle to block it	0.0
plotQA	video/1_plotQA	415.0	xiaoliyu_5.mp4	What are the cartoon shrimp and cartoon seal disguised as?	Disguised as a cartoon lobster and a cartoon catfish	['Cartoon fish and cartoon snake', 'Cartoon hippo and cartoon dolphin', 'Cartoon snake and cartoon shark', 'Disguised as a cartoon lobster and a cartoon catfish']	330	(C) Cartoon snake and cartoon shark	1.0
plotQA	video/1_plotQA	415.0	xiaoliyu_5.mp4	Who captured the cartoon turtle?	Cartoon snake	['Cartoon mouse', 'Cartoon fish', 'Cartoon cat', 'Cartoon snake']	333	(B) Cartoon fish	0.0
plotQA	video/1_plotQA	415.0	xiaoliyu_5.mp4	What is the reaction of the cartoon crab group when they see the cartoon turtle?	Run away	['Happy', 'Crying', 'Surprised', 'Run away']	398	(C) Surprised	1.0
topic_reasoning	video/7_topic_reasoning	415.0	xiaoliyu_5.mp4	What is the main task of the three cartoon animals in the entire clip?	Looking for the cartoon turtle	['Playing', 'Going home', 'Arguing', 'Looking for the cartoon turtle']	2017	(D) Looking for the cartoon turtle	0.0
plotQA	video/1_plotQA	601.0	movie101_62.mp4	What is the blonde woman doing when the bald man comes to find her?	Taking a bath	['Eating', 'Taking a bath', 'Sleeping', 'Doing makeup']	332	(A) Eating	1.0
plotQA	video/1_plotQA	601.0	movie101_62.mp4	What color is the drink the bald man is having at the bar?	Blue	['Blue', 'Green', 'Red', 'Yellow']	353	(C) Red	0.0
plotQA	video/1_plotQA	601.0	movie101_62.mp4	What does the blonde man do after chatting with the woman?	Drinks	['Surfs', 'Eats', 'Drinks', 'Plays games']	501	(C) Drinks	1.0
topic_reasoning	video/7_topic_reasoning	601.0	movie101_62.mp4	What is the setting of the video?	Ocean	['Grassland', 'Ocean', 'Desert', 'Forest']	2051	(B) Ocean	0.0
topic_reasoning	video/7_topic_reasoning	601.0	movie101_62.mp4	What type of film is this?	Comedy	['Action', 'Thriller', 'Mystery', 'Comedy']	2124	(D) Comedy	0.0
plotQA	video/1_plotQA	670.0	movie101_109.mp4	Why are the people in military uniforms heading deep into the prairie?	To capture someone	['Rest', 'To capture someone', 'Hide', 'Eat']	334	(B) To capture someone	0.0
plotQA	video/1_plotQA	670.0	movie101_109.mp4	How do the people in military uniforms deal with the abandoned vehicle after inspecting it at the beginning of the video?	Ignite	['Dismantle', 'Throw away', 'Ignite', 'Sell']	354	(C) Ignite	0.0
plotQA	video/1_plotQA	670.0	movie101_109.mp4	What does the man do after being beaten?	Digs out white animal fur from the ground	['Faint', 'Run away', 'Treat wounds', 'Digs out white animal fur from the ground']	502	(D) Digs out white animal fur from the ground	0.0
topic_reasoning	video/7_topic_reasoning	670.0	movie101_109.mp4	What is the setting of the video?	Prairie	['Ocean', 'Forest', 'Prairie', 'City']	2085	(C) Prairie	1.0
plotQA	video/1_plotQA	580.0	movie101_54.mp4	In the video, what is the person in black clothes discussing with the person sitting in the car?	An important arrest operation	['An important deal', 'An important arrest operation', 'An important match', 'A sudden natural disaster']	346	(B) An important arrest operation	0.0
plotQA	video/1_plotQA	580.0	movie101_54.mp4	What did the person in the black leather jacket encounter while escaping on a motorcycle?	Hit by a car	['Hit a pedestrian', 'Hit by a car', 'Motorcycle malfunction', 'Scammed']	382	(B) Hit by a car	1.0
plotQA	video/1_plotQA	580.0	movie101_54.mp4	How did the person in the black leather jacket get to the hospital after the car accident?	A red taxi took him to the hospital	['An ambulance took him to the hospital', 'He walked to the hospital himself', 'A red taxi took him to the hospital', 'A police car took him to the hospital']	430	(C) A red taxi took him to the hospital	0.0
topic_reasoning	video/7_topic_reasoning	580.0	movie101_54.mp4	Which activity is not included in the police's actions in the video?	Escorting prisoners	['Rescuing the injured', 'Gunfight', 'Arresting', 'Escorting prisoners']	1997	(B) Gunfight	0.0
plotQA	video/1_plotQA	387.0	movie101_84.mp4	What is on the man's head at the beginning of the video?	Axe	['Saw', 'Knife', 'Gun', 'Axe']	360	(B) Knife	1.0
plotQA	video/1_plotQA	387.0	movie101_84.mp4	What color is the man's scarf at the end of the video?	Black	['Green', 'Purple', 'Black', 'Yellow']	510	(C) Black	1.0
plotQA	video/1_plotQA	387.0	movie101_84.mp4	What color is the woman's dress in the video?	White	['Green', 'Yellow', 'White', 'Black']	530	(D) Black	0.0
topic_reasoning	video/7_topic_reasoning	387.0	movie101_84.mp4	What is the main setting shown in the video?	City	['Desert', 'City', 'Ocean', 'Forest']	2029	(B) City	1.0
plotQA	video/1_plotQA	473.0	movie101_39.mp4	What color is the dress of the woman coming down from the eaves?	Black	['White', 'Red', 'Black', 'Blue']	367	(A) White	0.0
plotQA	video/1_plotQA	473.0	movie101_39.mp4	What color is the dress of the woman with the duster in the video?	White	['White', 'Black', 'Green', 'Yellow']	386	(A) White	0.0
plotQA	video/1_plotQA	473.0	movie101_39.mp4	What color is the top of the person doing the woman's makeup?	Red	['Green', 'Black', 'Yellow', 'Red']	437	(B) Black	0.0
plotQA	video/1_plotQA	473.0	movie101_39.mp4	What color is the dress of the woman looking in the mirror in the video?	Purple	['Green', 'Purple', 'Yellow', 'Black']	538	(D) Black	0.0
topic_reasoning	video/7_topic_reasoning	473.0	movie101_39.mp4	What is the genre of the film clip?	Action	['War', 'Horror', 'Action', 'Comedy']	2077	(C) Action	1.0
plotQA	video/1_plotQA	318.0	movie101_101.mp4	In the desert, why was the person in the white uniform being helped to walk?	His leg was injured	['Because a tsunami occurred', 'Because a sandstorm occurred', 'His leg was injured', 'Because an earthquake occurred']	399	(C) His leg was injured	0.0
plotQA	video/1_plotQA	318.0	movie101_101.mp4	Why did the person in white uniform intercept the vehicle?	Because someone hijacked the speaker on stage	['Because a sandstorm occurred', 'Because an earthquake occurred', 'Because a tsunami occurred', 'Because someone hijacked the speaker on stage']	402	(D) Because someone hijacked the speaker on stage	1.0
plotQA	video/1_plotQA	318.0	movie101_101.mp4	Why did people in the venue run away in terror?	An explosion occurred in the venue	['A sandstorm occurred in the venue', 'An explosion occurred in the venue', 'An earthquake occurred in the venue', 'A tsunami occurred in the venue']	406	(B) An explosion occurred in the venue	1.0
plotQA	video/1_plotQA	426.0	haimian_7.mp4	Why did the Cartoon Sponge turn into a sphere?	Because the Cartoon Shark wanted to use it to shoot a basket	['Because the Cartoon Octopus wanted to use it to shoot a basket', 'Because it can help it escape quickly', 'Because the Cartoon Shark wanted to use it to shoot a basket', 'Because it curled up into a ball out of fear']	407	(D) Because it curled up into a ball out of fear	0.0
plotQA	video/1_plotQA	426.0	haimian_7.mp4	Why is the Cartoon Octopus angry?	Because the Cartoon Sponge got all the burgers on it	['Because the Cartoon Shark hit it', 'Because the Cartoon Sponge hit it', 'Because the Cartoon Sponge got all the burgers on it', 'Because it was ignored by the Cartoon Sponge']	410	(C) Because the Cartoon Sponge got all the burgers on it	1.0
plotQA	video/1_plotQA	426.0	haimian_7.mp4	What do the other cartoon animals do to the Cartoon Shark and Cartoon Sponge?	Throw them out	['Eat with them', 'Dance with them', 'Play with them', 'Throw them out']	414	(D) Throw them out	1.0
plotQA	video/1_plotQA	426.0	haimian_7.mp4	What does the Cartoon Sponge do with the Cartoon Shark?	Dance	['Sleep', 'Dance', 'Sing', 'Play games']	416	(C) Sing	0.0
topic_reasoning	video/7_topic_reasoning	426.0	haimian_7.mp4	Who is the protagonist of the video?	Cartoon Sponge	['Cartoon Sponge', 'Cartoon Fish', 'Cartoon Shark', 'Cartoon Jellyfish']	2044	(A) Cartoon Sponge	1.0
plotQA	video/1_plotQA	716.0	movie101_10.mp4	What color is the background wall that appears in the hospital scene?	Green	['Red', 'Yellow', 'Green', 'Blue']	418	(D) Blue	1.0
plotQA	video/1_plotQA	716.0	movie101_10.mp4	What color is the watch worn by the character in the video?	Black	['Red', 'Blue', 'Black', 'White']	423	(C) Black	1.0
plotQA	video/1_plotQA	716.0	movie101_10.mp4	What color is the hat worn by the character in the video?	White	['White', 'Green', 'Red', 'Black']	488	(A) White	0.0
plotQA	video/1_plotQA	716.0	movie101_10.mp4	What is the expression of the person being kidnapped in the video?	Fear	['Happiness', 'Joy', 'Fear', 'Anger']	489	(C) Fear	0.0
topic_reasoning	video/7_topic_reasoning	716.0	movie101_10.mp4	What color is the scarf worn by the woman in the video?	Blue	['Red', 'Blue', 'White', 'Pink']	1912	(B) Blue	1.0
topic_reasoning	video/7_topic_reasoning	716.0	movie101_10.mp4	What color is the hat worn by the person who appeared in the market?	Red	['Red', 'Blue', 'Black', 'Green']	2008	(C) Black	0.0
plotQA	video/1_plotQA	585.0	en_tv_13.mp4	What does the man in the checkered shirt get up to bring when people are eating?	Cup	['Bowl', 'Cup', 'Plate', 'Spoon']	434	(C) Plate	1.0
plotQA	video/1_plotQA	585.0	en_tv_13.mp4	Where does the family of three finally stop after speeding on the road in their car?	Parking lot	['Park', 'Parking lot', 'Courtyard', 'Square']	468	(C) Courtyard	1.0
topic_reasoning	video/7_topic_reasoning	585.0	en_tv_13.mp4	What type of video is this?	Daily life documentary	['Cartoon', 'Daily life documentary', 'Advertisement video', 'Music video']	2012	(B) Daily life documentary	0.0
plotQA	video/1_plotQA	402.0	movie101_60.mp4	What kind of shop does the man run?	Pharmacy	['Pharmacy', 'Restaurant', 'Coffee shop', 'Pharmacy']	493	(A) Pharmacy	0.0
plotQA	video/1_plotQA	402.0	movie101_60.mp4	What color is the car the woman used to pick up the child?	White	['White', 'Black', 'Blue', 'Red']	496	(B) Black	1.0
plotQA	video/1_plotQA	402.0	movie101_60.mp4	After the man and the child took a bath, what did they eat?	Steamed bun	['Fried dough stick', 'Chinese pancake', 'Tofu pudding', 'Steamed bun']	498	(A) Fried dough stick	1.0
plotQA	video/1_plotQA	541.0	en_tv_15.mp4	What color is the chair the man sits on in the scene where two men are chatting in the office?	White	['White', 'Green', 'Purple', 'Black']	500	(A) White	1.0
plotQA	video/1_plotQA	541.0	en_tv_15.mp4	What color is the train that passes through the city?	Silver	['Blue', 'Silver', 'Green', 'Red']	504	(A) Blue	1.0
plotQA	video/1_plotQA	541.0	en_tv_15.mp4	What is the weather during the scene where two people are chatting at the beginning of the video?	Snowy	['Sunny', 'Snowy', 'Stormy', 'Rainy']	505	(B) Snowy	1.0
plotQA	video/1_plotQA	541.0	en_tv_15.mp4	What color is the woman's clothes in the chat at the beginning of the video?	Red	['Black', 'Red', 'Green', 'White']	508	(B) Red	0.0
topic_reasoning	video/7_topic_reasoning	541.0	en_tv_15.mp4	What genre of movie is the clip in the video from?	Action movie	['Action movie', 'Documentary', 'Horror movie', 'War movie']	2075	(A) Action movie	0.0
topic_reasoning	video/7_topic_reasoning	541.0	en_tv_15.mp4	In what kind of setting does the scene in the video take place?	City	['Snowy mountain', 'Island', 'City', 'Forest']	2093	(C) City	0.0
needle	video/2_needle	467.98	needle_32.mp4	What does the hand coming out of the computer do?	Delivers a product	"['Delivers a product', ""Shakes the woman's hand"", ""Takes the woman's credit card"", 'Points at something on the screen']"	539	(D) Points at something on the screen	0.0
needle	video/2_needle	467.98	needle_32.mp4	What is the woman's appearance?	She is a beautiful woman	['She is a middle-aged woman', 'She is an elderly woman', 'She is a beautiful woman', 'She is a young girl']	640	(A) She is a middle-aged woman	1.0
needle	video/2_needle	467.98	needle_32.mp4	What is the woman's reaction when the hand comes out of the computer?	She is surprised	['She laughs', 'She screams', 'She is not surprised', 'She is surprised']	658	(D) She is surprised	1.0
